name,empty_slots,free_bikes,latitude,longitude,yelp_center_dist,yelp_college_dist,fsq_center_dist,fsq_college_dist
Broad & Cherry,9,4,39.95511,-75.16287,170.36745717465357,288.13486436526654,300.0,433
9th & Lombard,16,5,39.94332,-75.15698,52.19534705724718,626.4575396658639,53.0,594
18th & Walnut,8,5,39.95029,-75.17126,116.50210052702737,257.5758046583699,156.0,1138
18th & Vine,17,2,39.95821,-75.16901,430.9703202736023,276.8896236131424,266.0,471
5th & Wolf,13,12,39.92,-75.1562,589.5230101989446,2953.371628007423,517.0,407
24th & Seybert,7,1,39.97595,-75.17509,329.05984573859035,1614.0696515225852,325.0,419
7th & South,11,10,39.94234,-75.15399,38.22378248385246,744.7939250540442,45.0,778
22nd & Lehigh,12,11,39.99569,-75.1671,1661.0872489034866,1897.4364826946323,655.0,1601
28th & Lehigh,16,1,39.99683,-75.17761,1103.8213178370363,2539.0021898612786,687.0,2322
27th & Clearfield,13,8,40.0028,-75.174,696.8178465489796,2358.491510694512,396.0,1860
"52nd Street Station, MFL",11,8,39.96004,-75.2244,232.17787601854292,1543.6128938500042,717.0,1447
41st & Chestnut,13,12,39.9559,-75.2053,81.72253957078524,205.5731835882338,87.0,204
Oxford & Glenwood,4,10,39.98024,-75.18651,106.88462866747766,2386.264419649308,303.0,1499
10th & Oregon,10,14,39.9158,-75.1643,352.08704333943246,3297.3732582663606,354.0,577
48th & Woodland,14,3,39.94235,-75.21138,638.0188693798406,515.1716375293979,692.0,402
16th & Wolf,12,7,39.92255,-75.17337,227.79506932936533,2613.895689268036,68.0,1086
12th & Carpenter,25,4,39.93866,-75.16351,334.4984929861355,786.906487024873,287.0,1197
30th & Reed,9,7,39.93633,-75.19447,761.7128797271579,1227.9298967763923,626.0,1309
City Hall South,9,10,39.95182,-75.16395,23.485660782678213,178.50170439353968,111.0,614
Front & Queen,9,7,39.93682,-75.14492,267.39222804369456,1633.103448909896,83.0,1724
Broad & Master,13,4,39.9746,-75.15917,71.47241534493652,661.566456052106,46.0,489
20th & Cuthbert,9,12,39.95485,-75.17298,87.54059474892657,271.60329424754684,49.0,923
Kelly Drive - Strawberry Mansion Bridge,19,3,39.99484,-75.19242,1066.1163790598894,2302.106395727093,,2759
Kelly Drive Grandstand,19,4,39.98798,-75.1995,1507.0030956846322,2340.386423559471,,2890
Penn Treaty Park,11,5,39.96672,-75.12964,343.54457289789605,1752.0610397065273,341.0,2460
M.L.K. Drive - Strawberry Mansion Bridge,12,4,39.99198,-75.19944,1414.7690550570762,2008.8448357830096,,3130
Manayunk Bridge,17,5,40.02796,-75.2277,156.89059115725448,2765.760498288348,177.0,2936
Cresson & Levering,6,11,40.02651,-75.22445,42.216744277161766,2524.9142618499404,18.0,2636
6th & Master,18,3,39.97318,-75.14612,229.95460229947096,1117.8767421645953,222.0,1061
7th & Dickinson,13,6,39.9302,-75.15636,144.15701606258588,1890.7016594191189,141.0,1165
7th & Passyunk,9,4,39.93638,-75.15526,316.2950519548185,1374.2713447431947,198.0,1379
36th & Filbert,14,6,39.95719,-75.19388,185.60128636321664,163.61986084370824,79.0,293
54th & Cedar,9,12,39.95098,-75.23035,637.5600143158022,1954.234610369918,548.0,1962
Main & Shurs,16,4,40.02237,-75.218,165.91260224832772,1970.494085890272,80.0,2060
Pencoyd Bridge,14,6,40.0163,-75.21241,206.15073382488,1328.8595202054923,123.0,1718
23rd & South,8,12,39.94527,-75.17971,201.4952070084415,1129.8316080544098,201.0,1130
Grays Ferry & Pemberton,10,6,39.94426,-75.18134,355.39066107001935,1030.6425687828007,264.0,1111
York & Gaul,16,1,39.97759,-75.12442,251.06178714610516,2585.1423935140547,239.0,2347
27th & Pennsylvania,11,6,39.96906,-75.18169,267.921212816852,1462.0519951605,285.0,1049
52nd & Larchwood - Malcolm X Park,9,9,39.95225,-75.22637,539.7318455017448,1641.490479516398,195.0,1641
Girard & Palmer,15,5,39.97116,-75.12813,253.72113165702348,2206.1698883110007,256.0,2372
Municipal Services Building,14,5,39.95376,-75.16474,137.06528393349484,305.6218820811447,128.0,588
32nd & Allegheny,10,11,40.00537,-75.18143,380.62123908196384,1749.5184145811666,332.0,1856
York & Trenton,8,13,39.98131,-75.12732,96.29872327568948,2311.142773240856,87.0,2010
22nd & Spring Garden,15,5,39.9639,-75.17385,266.4847611854556,634.8238821873906,123.0,664
18th & JFK Curbside,16,9,39.9541,-75.16965,89.57037427777897,31.93966564641768,43.0,749
21st & Washington,13,3,39.93906,-75.17824,214.2252359792482,1242.1749838500798,194.0,1730
56th & Chestnut,12,11,39.95961,-75.23354,809.1415647755323,2277.515007349214,716.0,2056
Cedar & Norris,16,5,39.9768,-75.12764,41.73247164548495,2329.82401934558,41.0,2120
5th & Spring Garden,19,2,39.9617,-75.14667,30.82614903239723,704.7565375745669,22.0,1233
6th & Chestnut,15,2,39.94883,-75.15097,176.4816238564148,308.0522192610975,170.0,330
9th & Race,12,8,39.95484,-75.15449,150.15872908198074,150.0071038277359,246.0,401
27th & Master,18,3,39.97719,-75.17952,373.51433166956537,1934.2513067160696,251.0,814
Frankford & Belgrade,3,17,39.97195,-75.13445,70.63432495496218,1975.7749890739203,63.0,1867
17th & JFK,18,4,39.95405,-75.16783,237.47399381334847,184.8160227564676,151.0,656
25th & Wharton,10,10,39.93651,-75.18621,348.6789079779749,1351.8495307577466,227.0,1548
Broad & Lehigh,17,3,39.99415,-75.15527,1179.2503679079584,1440.880033431312,400.0,1125
